Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-0.880084,-0.87812,1.95098,2.31344,132
-0.880615,-0.877111,1.95078,2.31308,133
-0.881363,-0.876249,1.95058,2.31287,134
-0.88217,-0.875674,1.95044,2.31284,135
-0.883249,-0.875311,1.95032,2.31302,136
-0.884226,-0.875319,1.95029,2.31337,137
-0.885302,-0.875679,1.95029,2.31392,138
-0.886057,-0.876352,1.95038,2.31453,139
-0.88653,-0.877032,1.95047,2.31505,140
-0.886943,-0.877985,1.95061,2.31568,141
-0.887014,-0.878381,1.95069,2.31593,142
-0.886898,-0.879419,1.95087,2.31643,143
-0.886366,-0.880511,1.95111,2.31685,144
-0.885575,-0.881405,1.9513,2.31704,145
-0.884756,-0.882069,1.95146,2.31712,146
-0.883908,-0.882661,1.95161,2.31714,147
-0.883009,-0.883092,1.95173,2.31707,148
-0.881884,-0.883247,1.95183,2.31678,149
-0.880752,-0.882897,1.9518,2.3162,150
-0.880578,-0.882472,1.95244,2.3165,151
-0.880136,-0.881874,1.95236,2.31604,152
-0.879868,-0.880874,1.95221,2.31543,153
-0.879842,-0.879772,1.95201,2.31483,154
-0.879995,-0.878734,1.95181,2.31433,155
-0.880243,-0.877996,1.95167,2.31403,156
-0.880694,-0.877022,1.95147,2.31366,157
-0.881274,-0.876222,1.9513,2.31343,158
-0.882144,-0.87549,1.95112,2.31334,159
-0.882667,-0.875234,1.95105,2.31338,160
-0.883608,-0.874958,1.95096,2.31356,161
-0.884421,-0.874954,1.95092,2.31383,162
-0.885387,-0.87521,1.95092,2.3143,163
-0.885625,-0.875322,1.95092,2.31444,164
-0.886255,-0.875929,1.951,2.31498,165
-0.886823,-0.876675,1.95111,2.31557,166
-0.88725,-0.877592,1.95124,2.31619,167
-0.887334,-0.878188,1.95136,2.31655,168
-0.887202,-0.87921,1.95153,2.31703,169
-0.88699,-0.879815,1.95165,2.31728,170
-0.886444,-0.880613,1.95182,2.31752,171
-0.885729,-0.881366,1.95199,2.31767,172
-0.885064,-0.881888,1.95212,2.31772,173
-0.884445,-0.882313,1.95223,2.31774,174
-0.883556,-0.882771,1.95236,2.31768,175
-0.882988,-0.882966,1.95243,2.3176,176
-0.881826,-0.882983,1.9525,2.31722,177
-0.880756,-0.882636,1.95246,2.31665,178
-0.880108,-0.881048,1.95294,2.31621,179
-0.880018,-0.880649,1.95287,2.31596,180
-0.880017,-0.879622,1.95269,2.31542,181
-0.880185,-0.878562,1.95249,2.31491,182
-0.880258,-0.878247,1.95243,2.31477,183
-0.880592,-0.877332,1.95224,2.31439,184
-0.880784,-0.876931,1.95216,2.31424,185
-0.881298,-0.876093,1.95199,2.31397,186
-0.882115,-0.875299,1.9518,2.31383,187
-0.882628,-0.87496,1.95172,2.31382,188
-0.883547,-0.874647,1.95162,2.31397,189
-0.884465,-0.874592,1.95156,2.31426,190
-0.885455,-0.874782,1.95156,2.3147,191
-0.885745,-0.874892,1.95156,2.31486,192
-0.88648,-0.875521,1.95163,2.31544,193
-0.887116,-0.876341,1.95174,2.31608,194
-0.887552,-0.877221,1.95187,2.3167,195
-0.887706,-0.877995,1.95202,2.31717,196
-0.887548,-0.879014,1.95218,2.31763,197
-0.887203,-0.879792,1.95234,2.31793,198
-0.886647,-0.880602,1.95253,2.31818,199
-0.885918,-0.881326,1.95269,2.31832,200
-0.88515,-0.881868,1.95283,2.31834,201
-0.884318,-0.882401,1.95296,2.31834,202
-0.883348,-0.882778,1.95308,2.31821,203
-0.882112,-0.88279,1.95315,2.31781,204
-0.880977,-0.882423,1.95312,2.31721,205
-0.88038,-0.881072,1.95364,2.31691,206
-0.880258,-0.880482,1.95354,2.31656,207
-0.880208,-0.879483,1.95336,2.31601,208
-0.880347,-0.878416,1.95317,2.31549,209
-0.880708,-0.87724,1.95293,2.31498,210
-0.880884,-0.876844,1.95285,2.31483,211
-0.881318,-0.875965,1.95268,2.31451,212
-0.882068,-0.875077,1.95247,2.3143,213
-0.882592,-0.874707,1.95239,2.31428,214
-0.883507,-0.87431,1.95228,2.31439,215
-0.884179,-0.874183,1.95221,2.31454,216
-0.884507,-0.874175,1.9522,2.31465,217
-0.885492,-0.874327,1.95219,2.31508,218
-0.885903,-0.874474,1.9522,2.3153,219
-0.886692,-0.875106,1.95226,2.31589,220
-0.887379,-0.875889,1.95237,2.31654,221
-0.887874,-0.87682,1.95251,2.3172,222
-0.888055,-0.877802,1.95268,2.31779,223
-0.887896,-0.87886,1.95284,2.31826,224
-0.887451,-0.879802,1.95305,2.31863,225
-0.886843,-0.880589,1.95323,2.31884,226
-0.886049,-0.881287,1.95338,2.31893,227
-0.885504,-0.881675,1.95349,2.31896,228
-0.885243,-0.881852,1.95354,2.31897,229
-0.884381,-0.882372,1.95367,2.31895,230
-0.883468,-0.88267,1.95377,2.3188,231
-0.882119,-0.882613,1.95383,2.31831,232
-0.881068,-0.88214,1.95378,2.31769,233
-0.880639,-0.881081,1.95434,2.3176,234
-0.880438,-0.880336,1.95422,2.31714,235
-0.880392,-0.879324,1.95404,2.31659,236
-0.880502,-0.878297,1.95385,2.31608,237
-0.880853,-0.877138,1.95362,2.31558,238
-0.881185,-0.876204,1.95344,2.3152,239
-0.881446,-0.875664,1.95333,2.315,240
-0.882022,-0.874881,1.95316,2.31478,241
-0.882795,-0.874268,1.95301,2.31472,242
-0.883432,-0.873967,1.95293,2.31478,243
-0.884152,-0.873787,1.95285,2.31492,244
-0.88516,-0.873808,1.9528,2.31527,245
-0.885535,-0.873873,1.9528,2.31544,246
-0.886446,-0.874238,1.95282,2.31594,247
-0.886948,-0.874673,1.95288,2.31635,248
-0.887598,-0.875472,1.95299,2.31699,249
-0.888216,-0.876478,1.95316,2.31775,250
-0.888431,-0.877612,1.95333,2.31841,251
-0.888263,-0.878674,1.95349,2.31888,252
-0.888176,-0.87896,1.95356,2.31901,253
-0.887676,-0.879823,1.95376,2.31931,254
-0.887042,-0.880585,1.95393,2.31951,255
-0.886211,-0.881263,1.95409,2.31958,256
-0.885342,-0.881874,1.95425,2.31961,257
-0.884447,-0.882326,1.95437,2.31955,258
-0.883461,-0.882527,1.95446,2.31932,259
-0.882149,-0.882374,1.95449,2.31879,260
-0.881148,-0.881817,1.95444,2.31816,261
-0.880897,-0.881067,1.95503,2.31828,262
-0.880639,-0.880173,1.95489,2.31772,263
-0.880554,-0.879165,1.95471,2.31716,264
-0.880671,-0.878112,1.95452,2.31664,265
-0.880819,-0.877519,1.9544,2.31637,266
-0.880961,-0.877049,1.95431,2.31617,267
-0.881242,-0.876099,1.95412,2.31576,268
-0.881373,-0.875692,1.95405,2.31559,269
-0.881852,-0.874833,1.95387,2.3153,270
-0.882691,-0.874021,1.95369,2.31516,271
-0.883341,-0.873623,1.95358,2.31516,272
-0.884294,-0.873388,1.95349,2.31536,273
-0.885139,-0.873394,1.95344,2.31565,274
-0.88558,-0.873453,1.95343,2.31583,275
-0.886191,-0.873616,1.95344,2.31613,276
-0.887008,-0.874113,1.95349,2.31667,277
-0.887863,-0.875014,1.95361,2.31744,278
-0.888476,-0.875861,1.95374,2.31811,279
-0.888668,-0.87637,1.95381,2.31843,280
-0.888878,-0.877393,1.954,2.31906,281
-0.888616,-0.878446,1.95414,2.31947,282
-0.888394,-0.878944,1.95423,2.31966,283
-0.887897,-0.879824,1.95445,2.31998,284
-0.887246,-0.880577,1.95463,2.32017,285
-0.886408,-0.881274,1.9548,2.32026,286
-0.88546,-0.881873,1.95496,2.32026,287
-0.884533,-0.88227,1.95507,2.32015,288
-0.884213,-0.882359,1.9551,2.32009,289
-0.88323,-0.882395,1.95515,2.31977,290
-0.882153,-0.88213,1.95516,2.31927,291
-0.881281,-0.881635,1.95512,2.31871,292
-0.881134,-0.881053,1.95573,2.31895,293
-0.88078,-0.880027,1.95557,2.31829,294
-0.880706,-0.879003,1.95539,2.31772,295
-0.880827,-0.877961,1.9552,2.31721,296
-0.880945,-0.877405,1.95509,2.31695,297
-0.881068,-0.876942,1.955,2.31675,298
-0.88129,-0.875981,1.95481,2.31631,299
-0.881468,-0.875336,1.95469,2.31603,300
-0.881941,-0.874444,1.95451,2.31573,301
-0.88261,-0.873754,1.95435,2.31559,302
-0.883265,-0.873306,1.95425,2.31558,303
-0.88419,-0.873015,1.95415,2.31574,304
-0.885101,-0.872987,1.95409,2.31603,305
-0.885643,-0.87303,1.95407,2.31623,306
-0.886322,-0.873146,1.95406,2.31653,307
-0.88716,-0.873639,1.95411,2.31708,308
-0.887394,-0.873854,1.95413,2.31727,309
-0.888103,-0.874589,1.95423,2.3179,310
-0.888345,-0.874863,1.95427,2.31813,311
-0.888935,-0.875646,1.95439,2.31875,312
-0.88926,-0.876627,1.95455,2.31938,313
-0.889273,-0.877149,1.95466,2.31968,314
-0.888978,-0.878197,1.9548,2.32008,315
-0.888673,-0.878984,1.95497,2.3204,316
-0.888206,-0.879735,1.95513,2.32064,317
-0.887476,-0.880609,1.95533,2.32086,318
-0.886619,-0.881267,1.9555,2.32093,319
-0.885969,-0.881696,1.95561,2.32093,320
